"ano","mes","cidade","quantidade.secretario"
"2009","03","Brejo dos Santos",1
"2009","03","Caaporã",1
"2009","03","Cachoeira dos Índios",1
"2009","03","Cacimba de Dentro",1
"2009","03","Cajazeirinhas",1
"2009","03","Caldas Brandão",1
"2009","03","Capim",1
"2009","03","Caraúbas",1
"2009","03","Carrapateira",1
"2009","03","Casserengue",1
"2009","03","Caturité",1
"2009","03","Conde",1
"2009","03","Coxixola",1
"2009","03","Cuité de Mamanguape",1
"2009","03","Cuitegi",1
"2009","03","Curral de Cima",1
"2009","03","Diamante",1
"2009","03","Gado Bravo",1
"2009","03","Guarabira",1
"2009","03","Igaracy",1
"2009","03","Itapororoca",1
"2009","03","Itatuba",1
"2009","03","Jacaraú",1
"2009","03","Jericó",1
"2009","03","Joca Claudino",1
"2009","03","Juarez Távora",1
"2009","03","Juazeirinho",1
"2009","03","Junco do Seridó",1
"2009","03","Juru",1
"2009","03","Lagoa",1
"2009","03","Lastro",1
"2009","03","Logradouro",1
"2009","03","Lucena",1
"2009","03","Mãe d'Água",1
"2009","03","Marizópolis",1
"2009","03","Mataraca",1
"2009","03","Matinhas",1
"2009","03","Maturéia",1
"2009","03","Mogeiro",1
"2009","03","Monte Horebe",1
"2009","03","Nazarezinho",1
"2009","03","Nova Olinda",1
"2009","03","Nova Palmeira",1
"2009","03","Ouro Velho",1
"2009","03","Passagem",1
"2009","03","Paulista",1
"2009","03","Pedras de Fogo",1
"2009","03","Piancó",1
"2009","03","Picuí",1
"2009","03","Pilões",1
"2009","03","Pilõezinhos",1
"2009","03","Pirpirituba",1
"2009","03","Pocinhos",1
"2009","03","Poço Dantas",1
"2009","03","Pombal",1
"2009","03","Queimadas",1
"2009","03","Remígio",1
"2009","03","Riachão",1
"2009","03","Riachão do Bacamarte",1
"2009","03","Riachão do Poço",1
"2009","03","Riacho dos Cavalos",1
"2009","03","Rio Tinto",1
"2009","03","Salgadinho",1
"2009","03","Salgado de São Félix",1
"2009","03","Santa Cruz",1
"2009","03","Santa Inês",1
"2009","03","Santa Teresinha",1
"2009","03","Santana de Mangueira",1
"2009","03","São Francisco",1
"2009","03","São João do Rio do Peixe",1
"2009","03","São João do Tigre",1
"2009","03","São José de Espinharas",1
"2009","03","São José de Piranhas",1
"2009","03","São José dos Cordeiros",1
"2009","03","São Miguel de Taipu",1
"2009","03","Sapé",1
"2009","03","Serra Branca",1
"2009","03","Serra Redonda",1
"2009","03","Serraria",1
"2009","03","Sobrado",1
"2009","03","Solânea",1
"2009","03","Taperoá",1
"2009","03","Teixeira",1
"2009","03","Triunfo",1
"2009","03","Uiraúna",1
"2009","03","Umbuzeiro",1
"2009","03","Várzea",1
"2009","03","Vieirópolis",1
"2009","03","Vista Serrana",1
"2009","03","Zabelê",1
"2009","04","Aguiar",1
"2009","04","Alagoinha",1
"2009","04","Alcantil",1
"2009","04","Algodão de Jandaíra",1
"2009","04","Araruna",1
"2009","04","Areial",1
"2009","04","Baía da Traição",1
"2009","04","Bananeiras",1
"2009","04","Barra de Santa Rosa",1
"2009","04","Barra de São Miguel",1
"2009","04","Belém do Brejo do Cruz",1
"2009","04","Bernardino Batista",1
"2009","04","Boa Ventura",1
"2009","04","Boa Vista",1
"2009","04","Bom Jesus",1
"2009","04","Bom Sucesso",1
"2009","04","Bonito de Santa Fé",1
"2009","04","Borborema",1
"2009","04","Brejo dos Santos",1
"2009","04","Caaporã",1
"2009","04","Cabaceiras",1
"2009","04","Cachoeira dos Índios",1
"2009","04","Cacimba de Dentro",1
"2009","04","Cajazeirinhas",1
"2009","04","Caldas Brandão",1
"2009","04","Capim",1
"2009","04","Caraúbas",1
"2009","04","Carrapateira",1
"2009","04","Casserengue",1
"2009","04","Caturité",1
"2009","04","Conde",1
"2009","04","Coxixola",1
"2009","04","Cuité de Mamanguape",1
"2009","04","Cuitegi",1
"2009","04","Curral de Cima",1
"2009","04","Diamante",1
"2009","04","Gado Bravo",1
"2009","04","Guarabira",1
"2009","04","Igaracy",1
"2009","04","Itapororoca",1
