"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Guarabira","2010","02",2,31,2,1
"Guarabira","2010","03",2,31,2,1
"Guarabira","2010","04",2,31,2,1
"Guarabira","2010","05",2,31,2,1
"Guarabira","2010","06",2,31,2,1
"Guarabira","2010","07",2,31,2,1
"Guarabira","2010","08",2,31,2,1
"Guarabira","2010","09",2,31,2,1
"Guarabira","2010","10",2,31,2,1
"Guarabira","2010","11",2,31,2,1
"Guarabira","2010","12",2,31,2,1
"Guarabira","2011","01",2,32,12,1
"Guarabira","2011","02",2,32,12,1
"Guarabira","2011","03",2,32,12,1
"Guarabira","2011","04",2,32,12,1
"Guarabira","2011","05",2,32,12,1
"Guarabira","2011","06",2,32,12,1
"Guarabira","2011","07",2,32,12,1
"Guarabira","2011","08",2,32,12,1
"Guarabira","2011","09",2,32,12,1
"Guarabira","2011","10",2,32,12,1
"Guarabira","2011","11",2,32,12,1
"Guarabira","2011","12",2,32,12,1
"Guarabira","2012","01",2,33,12,1
"Guarabira","2012","02",2,33,12,1
"Guarabira","2012","03",2,33,12,1
"Guarabira","2012","04",2,33,12,1
"Guarabira","2012","05",2,33,12,1
"Guarabira","2012","06",2,33,12,1
"Guarabira","2012","07",2,33,12,1
"Guarabira","2012","08",2,33,12,1
"Guarabira","2012","09",2,33,12,1
"Guarabira","2012","10",2,33,12,1
"Guarabira","2012","11",2,33,12,1
"Guarabira","2012","12",2,33,12,1
"Guarabira","2015","01",2,31,12,1
"Guarabira","2015","02",2,29,12,1
"Guarabira","2015","03",2,29,12,1
"Guarabira","2015","04",2,28,12,1
"Guarabira","2015","05",2,29,12,1
"Guarabira","2015","06",2,29,12,1
"Guarabira","2015","07",2,27,12,1
"Guarabira","2015","08",2,27,12,1
"Guarabira","2015","09",2,29,12,1
"Guarabira","2015","10",2,29,12,1
"Guarabira","2015","11",2,29,12,1
"Guarabira","2015","12",2,29,12,1
"Guarabira","2016","01",2,26,12,1
"Guarabira","2016","02",2,30,12,1
"Guarabira","2016","03",2,31,10,1
"Guarabira","2016","04",2,31,10,1
"Guarabira","2016","05",2,31,10,1
"Mamanguape","2009","01",2,13,13,2
"Mamanguape","2009","02",2,16,14,2
"Mamanguape","2009","03",2,18,14,2
"Mamanguape","2009","04",2,18,14,2
"Mamanguape","2009","05",2,18,14,2
"Mamanguape","2009","06",2,18,14,2
"Mamanguape","2009","07",2,18,14,2
"Mamanguape","2009","08",2,18,13,2
"Mamanguape","2009","09",2,18,12,2
"Mamanguape","2009","10",2,18,12,2
"Mamanguape","2009","11",2,18,12,2
"Mamanguape","2009","12",2,18,12,2
"Mamanguape","2016","04",1,15,2,1
"Mamanguape","2016","05",1,15,2,1
"Patos","2008","07",22,1,5,1
"Patos","2009","01",22,23,16,1
